,Name,Lattitude,Longitude,Address
49,Holiday Inn Chicago O'Hare Area,41.9818517,-87.83564995695916,"5615 North Cumberland Avenue, Chicago, IL 60631, United States of America"
50,La Quinta Inn Chicago O'Hare Airport,42.02325265,-87.95851450689855,"1900 East Oakton Street, Elk Grove Village, IL 60007, United States of America"
51,Best Western O'Hare/Elk Grove Hotel,42.024880800000005,-87.96082095,"100 South Busse Road, Elk Grove Village, IL 60007, United States of America"
52,SpringHill Suites by Marriott Chicago O'Hare,41.98511205,-87.82987624856919,"8101 West Higgins Road, Chicago, IL 60631, United States of America"
53,DoubleTree by Hilton Chicago Wood Dale / Elk Grove,41.9859406,-87.98862134538817,"1200 North Mittel Boulevard, Wood Dale, IL 60191, United States of America"
54,Extended Stay America,41.9275164,-87.95856632037156,"550 West Grand Avenue, Elmhurst, IL 60126, United States of America"
55,SpringHill Suites,41.91750625,-87.95206050996433,"410 Lake Street, Elmhurst, IL 60126, United States of America"
56,Baymont By Wyndham Addison IL,41.9279277,-87.97268261768653,"600 Diversey Avenue, Addison, IL 60101, United States of America"
57,Hyatt Place Itasca,41.98712165,-88.00525224971713,"1150 East Pierce Road, Itasca, IL 60143, United States of America"
58,Sheraton Suites Chicago Elk Grove,42.0372243,-87.9815292,"121 Northwest Point Road, Elk Grove Village, IL 60007, United States of America"
59,Courtyard by Marriott,41.90868935,-87.96609438526326,"370 Robert Kingery Highway, Elmhurst, IL 60126, United States of America"
60,DoubleTree,42.0440021,-87.9858169629845,"West Algonquin Road, Arlington Heights, IL 60005, United States of America"
61,Red Roof Inn,42.0451957,-87.98413826731178,"South Arlington Heights Road, Arlington Heights, IL 60005, United States of America"
62,Holiday Inn Express Chicago NW - Arlington Heights,42.04696655,-87.98198619576516,"2111 South Arlington Heights Road, Arlington Heights, IL 60005, United States of America"
63,Comfort Inn Arlington Heights Chicago O'Hare Airport,42.04628655,-87.98385934466,"2120 South Arlington Heights Road, Arlington Heights, IL 60005, United States of America"
64,Courtyard,42.04590365,-87.98468932169905,"West Algonquin Road, Arlington Heights, IL 60005, United States of America"
65,Holiday Inn Express & Suites,42.0130784,-87.80165438693837,"7247 North Waukegan Road, Niles, IL 60714, United States of America"
66,Wingate by Wyndham Arlington Heights,42.04675095,-87.98344522091352,"South Arlington Heights Road, Arlington Heights, IL 60005, United States of America"
67,Extended Stay America - Chicago - Itasca,41.98585975,-88.03012694922023,"1181 North Rohlwing Road, Itasca, IL 60143, United States of America"
68,Country Inn & Suites,41.993823,-88.0303528,"1160 Rohlwing Road, Elk Grove Village, IL 60007, United States of America"
69,Hampton Inn & Suites - Addison,41.9475725,-88.02967832248623,"1685 West Lake Street, Addison, IL 60101, United States of America"
70,Holiday Inn,42.0798974,-87.9333977,"East Kensington Road, Mount Prospect, IL 60056, United States of America"
71,Pablo Moscoso,41.9590593,-87.7729572,"4313-4315 North Monitor Avenue, Chicago, IL 60630, United States of America"
72,Extended Stay America - Chicago - Rolling Meadows,42.0519419,-88.01062568837955,"2400 Golf Road, Rolling Meadows, IL 60008, United States of America"
73,Renaissance Chicago Glenview Suites Hotel,42.079640850000004,-87.8652805331869,"1400 Milwaukee Avenue, Glenview, IL 60025, United States of America"
74,Chicago Marriott Schaumburg,42.02994315,-88.03276547959314,"50 North Martingale Road, Schaumburg, IL 60173, United States of America"
75,Hampton Inn and Suites- Mount Prospect,42.0836826,-87.9332944,"1 East Kensington Road, Mount Prospect, IL 60056, United States of America"
76,Hilton Garden Inn Addison,41.936406149999996,-88.03902651693758,"551 North Swift Road, Addison, IL 60101, United States of America"
77,Extended Stay America,41.87340745,-87.89513084011435,"4575 North Frontage Road, Hillside, IL 60162, United States of America"
78,Best Western,41.87195385,-87.89340702138234,"4400 North Frontage Road, Hillside, IL 60162, United States of America"
79,Red Roof Inn Morton Grove,42.05279285,-87.79996291415132,"9424 North Waukegan Road, Morton Grove, IL 60053, United States of America"
80,Baymont by Wyndham Glenview,42.08599325,-87.86745623819778,"1625 Milwaukee Avenue, Glenview, IL 60025, United States of America"
81,Courtyard Chicago Glenview/Northbrook,42.08764135,-87.87004635036993,"1801 Milwaukee Avenue, Glenview, IL 60025, United States of America"
82,Estia,42.087990500000004,-87.86811336820186,"4514 West Lake Avenue, Glenview, IL 60025, United States of America"
83,Quality Inn Schaumburg,42.03974505,-88.03654846791144,"Kimberly Drive, Schaumburg, IL 60173, United States of America"
84,La Quinta Inn Schaumburg,42.0388846,-88.03720373837767,"1730 East Higgins Road, Schaumburg, IL 60173, United States of America"
85,Holiday Inn & Suites Chicago North Shore (Skokie),42.012727999999996,-87.7603410067103,"5300 West Touhy Avenue, Skokie, IL 60077, United States of America"
86,Holiday Inn Express,41.86626535,-87.88320168615698,"Mannheim Road, Hillside, IL 60154, United States of America"
87,Clarion Inn,41.8698252,-87.95709343193128,"933 South Riverside Drive, Elmhurst, IL 60126, United States of America"
88,Hyatt Place Chicago/Schaumburg,42.05407045,-88.03198836435155,"1851 East McConnor Parkway, Schaumburg, IL 60173, United States of America"
89,"Hyatt Regency Schaumburg, Chicago",42.0524901,-88.0335029,"1800 Walter Payton Drive, Schaumburg, IL 60173, United States of America"
90,Comfort Suites,41.905306249999995,-88.03110137485595,"530 North Avenue, Lombard, IL 60148, United States of America"
91,Hampton Inn & Suites Chicago Schaumburg,42.04489315,-88.04216848811205,"891 Plaza Drive, Schaumburg, IL 60173, United States of America"
92,Hawthorn Suites,42.041461049999995,-88.04965160122805,"1200 Bank Drive, Schaumburg, IL 60173, United States of America"
93,Fairfield Inn & Suites,41.9035102,-88.0348336409178,"645 North Avenue, Lombard, IL 60148, United States of America"
94,Crowne Plaza Chicago-Northbrook,42.10018735,-87.8820323647135,"2875 Milwaukee Avenue, Northbrook, IL 60062, United States of America"
95,Courtyard by Marriott Chicago Schaumburg/Woodfield Mall,42.045875949999996,-88.0476891,"1311 American Lane, Schaumburg, IL 60173, United States of America"
96,Comfort Suites,42.040827300000004,-88.05233475628192,"1100 East Higgins Road, Schaumburg, IL 60173, United States of America"
97,Hilton Garden Inn,42.0426917,-88.05109985665473,"1191 East Woodfield Road, Schaumburg, IL 60173, United States of America"
98,Hilton Chicago/Northbrook,42.1016278,-87.88212209859361,"2855 Milwaukee Avenue, Northbrook, IL 60062, United States of America"
99,Home2 Suites Schaumburg,42.04796825,-88.04797664736296,"1300 American Lane, Schaumburg, IL 60173, United States of America"
